Customer_ID,Age,Gender,City,Product,Category,Quantity,Price,Purchase_Date,Payment_Method
1067,27.0,Female,Pune,Wireless Mouse,Accessories,4.0,399,2025-06-29,Debit Card
1068,36.0,Female,Raipur,Wireless Mouse,Accessories,5.0,799,2025-01-04,Cash
1069,45.0,Female,Mumbai,Wireless Mouse,Accessories,4.0,1999,2025-05-20,Credit Card
1070,50.0,Male,Pune,Keyboard,Accessories,3.0,499,2025-04-11,Cash
1071,18.0,Male,Delhi,Keyboard,Accessories,3.0,599,2025-01-29,UPI
1072,48.0,Female,Delhi,Headphones,Audio,5.0,499,2025-02-04,Debit Card
1073,43.0,Female,Pune,Laptop Bag,Accessories,,399,2025-03-31,Credit Card
1074,58.0,Male,Bangalore,Wireless Mouse,Accessories,2.0,799,2025-04-24,UPI
1075,46.0,Female,Bangalore,Keyboard,Accessories,1.0,799,2025-06-13,Credit Card
1076,26.0,Female,Mumbai,USB Cable,Accessories,1.0,499,2025-02-05,Credit Card
1077,56.0,Female,Hyderabad,Laptop Bag,Accessories,5.0,599,2025-04-23,Debit Card
1078,40.0,Male,Mumbai,USB Cable,Accessories,1.0,999,2025-01-17,UPI
1079,37.0,Female,Raipur,Webcam,Electronics,5.0,499,2025-01-19,UPI
1080,29.0,Male,Raipur,Headphones,Audio,0.0,599,2025-01-09,Debit Card
1081,31.0,Male,Bangalore,Headphones,Audio,3.0,399,2025-04-21,Cash
1082,22.0,Male,Bangalore,USB Cable,accessories,1.0,599,2025-05-03,UPI
1083,40.0,Female,Raipur,Headphones,Audio,5.0,799,2025-02-11,Credit Card
1084,48.0,Female,Pune,Webcam,Electronics,3.0,1499,2025-03-16,Credit Card
1085,26.0,Female,Delhi,Headphones,Audio,4.0,299,2025-01-07,Credit Card
1086,57.0,Female,Raipur,USB Cable,Accessories,2.0,499,2025-05-02,Credit Card
1087,46.0,Male,Hyderabad,USB Cable,Accessories,3.0,1999,2025-04-19,UPI
1088,34.0,Male,Raipur,Webcam,Electronics,5.0,599,2025-02-05,Credit Card
1089,48.0,Male,Pune,Headphones,Audio,4.0,999,2025-06-16,Debit Card
1090,43.0,Male,Hyderabad,Wireless Mouse,Accessories,3.0,799,2025-05-21,Credit Card
1091,37.0,Female,Pune,Headphones,Audio,1.0,1499,2025-01-01,Debit Card
1092,45.0,Female,Raipur,USB Cable,Accessories,4.0,299,2025-06-02,Cash
1093,55.0,Male,Hyderabad,Laptop Bag,Accessories,2.0,599,2025-06-22,Cash
1094,38.0,Female,Hyderabad,USB Cable,Accessories,5.0,499,2025-06-13,
1095,37.0,Male,Delhi,Keyboard,Accessories,1.0,299,2025-01-14,Debit Card
1096,20.0,Female,Raipur,Laptop Bag,Accessories,3.0,599,2025-03-15,Cash
1097,29.0,Female,Bangalore,Webcam,Electronics,5.0,1999,2025-05-02,Cash
1098,43.0,Female,Delhi,Headphones,Audio,4.0,399,2025-01-28,Cash
1099,58.0,Female,Mumbai,USB Cable,Accessories,1.0,299,2025-06-10,UPI
1100,30.0,Female,Pune,Headphones,Audio,5.0,999,2025-02-04,UPI
1101,35.0,Male,Pune,Webcam,Electronics,1.0,399,2025-01-10,Cash
1102,22.0,Male,Raipur,Webcam,Electronics,1.0,399,2025-06-26,Debit Card
1103,43.0,Male,Raipur,USB Cable,Accessories,3.0,499,2025-06-26,UPI
1104,51.0,Male,Mumbai,Laptop Bag,Accessories,1.0,799,2025-02-24,Credit Card
1105,34.0,Male,Pune,Headphones,Audio,3.0,799,2025-01-23,UPI
1106,54.0,Female,Delhi,USB Cable,Accessories,3.0,299,2025-03-26,Credit Card
1107,18.0,Male,Pune,Laptop Bag,Accessories,5.0,599,2025-04-23,Cash
1108,45.0,Male,Delhi,Wireless Mouse,Accessories,2.0,399,2025-04-28,Debit Card
1109,29.0,Male,Hyderabad,Keyboard,Accessories,4.0,799,2025-02-26,UPI
1110,38.0,Female,Delhi,USB Cable,Accessories,3.0,499,2025-04-13,Credit Card
1111,51.0,Female,Delhi,Headphones,Audio,2.0,399,2025-01-30,Debit Card
1112,51.0,Female,Raipur,Keyboard,Accessories,1.0,1999,2025-03-20,Cash
1113,59.0,Male,Raipur,Webcam,Electronics,5.0,799,2025-05-12,Credit Card
1114,27.0,Male,Bangalore,Laptop Bag,Accessories,4.0,1999,2025-03-10,Credit Card
1115,19.0,Male,Hyderabad,Webcam,Electronics,3.0,499,2025-04-25,Debit Card
1116,40.0,Male,Mumbai,Laptop Bag,Accessories,4.0,1999,2025-05-12,Cash
1117,20.0,Female,Mumbai,Laptop Bag,Accessories,3.0,799,2025-06-09,Credit Card
1118,36.0,Male,Pune,USB Cable,Accessories,2.0,599,2025-06-19,UPI
1119,38.0,Female,Raipur,Webcam,Electronics,5.0,299,2025-01-12,Credit Card
1120,51.0,Male,Hyderabad,Webcam,Electronics,2.0,799,2025-06-04,UPI
1011,51.0,Female,Hyderabad,Headphones,Audio,4.0,999,2025-04-05,Cash
1056,39.0,Female,Delhi,USB Cable,Accessories,1.0,599,2025-06-19,Credit Card
1091,37.0,Female,Pune,Headphones,Audio,1.0,1499,2025-01-01,Debit Card
